date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,home_tries,away_tries
1975-02-01,England,France,20,27,1975 Five Nations Championship,London,England,False,,
1975-02-15,Wales,England,20,4,1975 Five Nations Championship,Cardiff,Wales,False,,
1975-02-15,France,Scotland,10,9,1975 Five Nations Championship,Paris,France,False,,
1975-03-01,Scotland,Wales,12,10,1975 Five Nations Championship,Edinburgh,Scotland,False,,
1975-03-01,Ireland,France,25,6,1975 Five Nations Championship,Dublin,Ireland,False,,
1975-03-15,England,Scotland,7,6,1975 Five Nations Championship,London,England,False,,
1975-03-15,Wales,Ireland,32,4,1975 Five Nations Championship,Cardiff,Wales,False,,
1975-05-24,Australia,England,16,9,1975 England tour of Australia,Sydney,Australia,False,,
1975-05-31,Australia,England,30,21,1975 England tour of Australia,Brisbane,Australia,False,,
1975-06-14,New Zealand,Scotland,24,0,1975 Scotland rugby union tour of New Zealand,Auckland,New Zealand,False,,
1975-06-21,South Africa,France,38,25,1975 France rugby union tour of South Africa,Bloemfontein,South Africa,False,,
1975-06-28,South Africa,France,33,18,1975 France rugby union tour of South Africa,Pretoria,South Africa,False,,
1975-10-19,France,Argentina,29,6,1975 Argentina tour of France,Lyon,France,False,,
1975-10-25,France,Argentina,36,21,1975 Argentina tour of France,Paris,France,False,,
1975-12-06,Scotland,Australia,10,3,"1975–76 Australia tour of Great Britain, Ireland and North America",Edinburgh,Scotland,False,,
1975-12-20,Wales,Australia,28,3,"1975–76 Australia tour of Great Britain, Ireland and North America",Cardiff,Wales,False,,
1976-01-03,England,Australia,23,6,"1975–76 Australia tour of Great Britain, Ireland and North America",London,England,False,,
1976-01-10,Scotland,France,6,13,1976 Five Nations Championship,Edinburgh,Scotland,False,,
1976-01-17,England,Wales,9,21,1976 Five Nations Championship,London,England,False,,
1976-01-17,Ireland,Australia,10,20,"1975–76 Australia tour of Great Britain, Ireland and North America",Dublin,Ireland,False,,
1976-02-07,France,Ireland,26,3,1976 Five Nations Championship,Paris,France,False,,
1976-02-07,Wales,Scotland,28,6,1976 Five Nations Championship,Cardiff,Wales,False,,
1976-02-21,Ireland,Wales,9,34,1976 Five Nations Championship,Dublin,Ireland,False,,
1976-02-21,Scotland,England,22,12,1976 Five Nations Championship,Edinburgh,Scotland,False,,
1976-03-06,Wales,France,19,13,1976 Five Nations Championship,Cardiff,Wales,False,,
1976-03-06,England,Ireland,12,13,1976 Five Nations Championship,London,England,False,,
1976-03-20,Ireland,Scotland,6,15,1976 Five Nations Championship,Dublin,Ireland,False,,
1976-03-20,France,England,30,9,1976 Five Nations Championship,Paris,France,False,,
1976-06-05,New Zealand,Ireland,11,3,1976 Ireland rugby union tour of New Zealand and Fiji,Wellington,New Zealand,False,,
1976-07-24,South Africa,New Zealand,16,7,1976 New Zealand tour,Durban,South Africa,False,,
1976-08-14,South Africa,New Zealand,9,15,1976 New Zealand tour,Bloemfontein,South Africa,False,,
1976-09-04,South Africa,New Zealand,15,10,1976 New Zealand tour,Cape Town,South Africa,False,,
1976-09-18,South Africa,New Zealand,15,14,1976 New Zealand tour,Johannesburg,South Africa,False,,
1976-10-24,France,Australia,18,15,1976 Australia tour of France and Italy,Bordeaux,France,False,,
1976-10-30,France,Australia,34,6,1976 Australia tour of France and Italy,Paris,France,False,,
1977-01-15,Wales,Ireland,25,9,1977 Five Nations Championship,Cardiff,Wales,False,,
1977-01-15,England,Scotland,26,6,1977 Five Nations Championship,London,England,False,,
1977-02-01,England,France,3,4,1977 Five Nations Championship,London,England,False,,
1977-02-05,France,Wales,16,9,1977 Five Nations Championship,Paris,France,False,,
1977-02-05,Ireland,England,0,4,1977 Five Nations Championship,Dublin,Ireland,False,,
1977-02-19,Scotland,Ireland,21,18,1977 Five Nations Championship,Edinburgh,Scotland,False,,
1977-03-05,France,Scotland,23,3,1977 Five Nations Championship,Paris,France,False,,
1977-03-05,Wales,England,14,9,1977 Five Nations Championship,Cardiff,Wales,False,,
1977-03-19,Ireland,France,6,15,1977 Five Nations Championship,Dublin,Ireland,False,,
1977-03-19,Scotland,Wales,9,18,1977 Five Nations Championship,Edinburgh,Scotland,False,,
1977-06-25,Argentina,France,3,26,1977 France tour of Argentina,Buenos Aires,Argentina,False,,
1977-07-02,Argentina,France,18,18,1977 France tour of Argentina,Buenos Aires,Argentina,False,,
1977-11-11,France,New Zealand,18,13,1977 New Zealand tour,Toulouse,France,False,,
1977-11-19,France,New Zealand,3,15,1977 New Zealand tour,Paris,France,False,,
1978-01-21,France,England,15,6,1978 Five Nations Championship,Paris,France,False,,
1978-01-21,Ireland,Scotland,12,9,1978 Five Nations Championship,Dublin,Ireland,False,,
1978-02-04,England,Wales,6,9,1978 Five Nations Championship,London,England,False,,
1978-02-04,Scotland,France,16,19,1978 Five Nations Championship,Edinburgh,Scotland,False,,
1978-02-18,France,Ireland,10,9,1978 Five Nations Championship,Paris,France,False,,
1978-02-18,Wales,Scotland,22,14,1978 Five Nations Championship,Cardiff,Wales,False,,
1978-03-04,Scotland,England,0,15,1978 Five Nations Championship,Edinburgh,Scotland,False,,
1978-03-04,Ireland,Wales,16,20,1978 Five Nations Championship,Dublin,Ireland,False,,
1978-03-18,Wales,France,16,7,1978 Five Nations Championship,Cardiff,Wales,False,,
1978-03-18,England,Ireland,15,9,1978 Five Nations Championship,London,England,False,,
1978-06-11,Australia,Wales,18,8,1978 Wales tour of Australia,Brisbane,Australia,False,,
1978-06-17,Australia,Wales,19,17,1978 Wales tour of Australia,Sydney,Australia,False,,
1978-08-19,New Zealand,Australia,13,12,1978 Australia tour of New Zealand,Wellington,New Zealand,False,,
1978-08-26,New Zealand,Australia,22,6,1978 Australia tour of New Zealand,Christchurch,New Zealand,False,,
1978-09-09,New Zealand,Australia,16,30,1978 Australia tour of New Zealand,Auckland,New Zealand,False,,
1978-10-24,Italy,Argentina,19,6,"1978 Argentina rugby union tour of Britain, Ireland and Italy",Rovigo,Italy,False,,
1978-11-04,Ireland,New Zealand,6,10,1978 New Zealand rugby union tour of Britain and Ireland,Dublin,Ireland,False,,
1978-11-11,Wales,New Zealand,12,13,1978 New Zealand tour of Great Britain and Ireland,Cardiff,Wales,False,,
1978-11-25,England,New Zealand,6,16,1978 New Zealand rugby union tour of Britain and Ireland,London,England,False,,
1978-12-09,Scotland,New Zealand,9,18,1978 New Zealand tour,Edinburgh,Scotland,False,,
1979-01-20,Scotland,Wales,13,19,1979 Five Nations Championship,Edinburgh,Scotland,False,,
1979-01-20,Ireland,France,9,9,1979 Five Nations Championship,Dublin,Ireland,False,,
1979-02-01,England,France,7,6,1979 Five Nations Championship,London,England,False,,
1979-02-03,Wales,Ireland,24,21,1979 Five Nations Championship,Cardiff,Wales,False,,
1979-02-03,England,Scotland,7,7,1979 Five Nations Championship,London,England,False,,
1979-02-17,Ireland,England,12,7,1979 Five Nations Championship,Dublin,Ireland,False,,
1979-02-17,France,Wales,14,13,1979 Five Nations Championship,Paris,France,False,,
1979-03-03,Scotland,Ireland,11,11,1979 Five Nations Championship,Edinburgh,Scotland,False,,
1979-03-17,France,Scotland,21,17,1979 Five Nations Championship,Paris,France,False,,
1979-03-17,Wales,England,27,3,1979 Five Nations Championship,Cardiff,Wales,False,,
1979-06-03,Australia,Ireland,12,27,1979 Ireland tour of Australia,Brisbane,Australia,False,,
1979-06-16,Australia,Ireland,3,9,1979 Ireland tour of Australia,Sydney,Australia,False,,
1979-07-07,New Zealand,France,23,9,1979 French tour of Fiji & New Zealand,Christchurch,New Zealand,False,,
1979-07-14,New Zealand,France,19,24,1979 French tour of Fiji & New Zealand,Auckland,New Zealand,False,,
1979-07-28,Australia,New Zealand,12,6,1979 New Zealand tour of Australia,Sydney,Australia,False,,
1979-10-27,Argentina,Australia,24,13,1979 Australia tour of Argentina,Buenos Aires,Argentina,False,,
1979-11-03,Argentina,Australia,12,17,1979 Australia tour of Argentina,Buenos Aires,Argentina,False,,
1979-11-10,Scotland,New Zealand,6,20,1979 New Zealand tour,Edinburgh,Scotland,False,,
1979-11-24,England,New Zealand,9,10,"1979 New Zealand rugby union tour of England, Scotland and Italy",London,England,False,,
1980-01-19,Wales,France,18,9,1980 Five Nations Championship,Cardiff,Wales,False,,
1980-01-19,England,Ireland,24,9,1980 Five Nations Championship,London,England,False,,
1980-02-02,France,England,13,17,1980 Five Nations Championship,Paris,France,False,,
1980-02-02,Ireland,Scotland,22,15,1980 Five Nations Championship,Dublin,Ireland,False,,
1980-02-16,England,Wales,9,8,1980 Five Nations Championship,London,England,False,,
1980-02-16,Scotland,France,22,14,1980 Five Nations Championship,Edinburgh,Scotland,False,,
1980-03-01,Wales,Scotland,17,6,1980 Five Nations Championship,Cardiff,Wales,False,,
1980-03-01,France,Ireland,19,18,1980 Five Nations Championship,Paris,France,False,,
1980-03-15,Ireland,Wales,21,7,1980 Five Nations Championship,Dublin,Ireland,False,,
1980-03-15,Scotland,England,18,30,1980 Five Nations Championship,Edinburgh,Scotland,False,,
1980-06-21,Australia,New Zealand,13,9,1980 New Zealand tour of Australia and Fiji,Sydney,Australia,False,,
1980-06-28,Australia,New Zealand,9,12,1980 New Zealand tour of Australia and Fiji,Brisbane,Australia,False,,
1980-07-12,Australia,New Zealand,26,10,1980 New Zealand tour of Australia and Fiji,Sydney,Australia,False,,
1980-11-01,Wales,New Zealand,3,23,1980 New Zealand tour of North America and Wales,Cardiff,Wales,False,,
1980-11-08,South Africa,France,37,15,1980 France rugby union tour of South Africa,Pretoria,South Africa,False,,
